Current,Encoder,Time
86,1619,52
74,1657,52
69,1723,41
65,1788,52
64,1874,41
62,1946,52
60,2040,52
59,2133,41
61,2207,52
59,2300,42
63,2371,52
63,2457,41
66,2524,52
66,2604,52
69,2684,42
71,2746,52
67,2818,42
69,2881,52
68,2958,41
69,3017,52
66,3100,52
67,3181,41
66,3248,52
62,3338,42
66,3412,52
59,3512,42
59,3620,52
57,3715,52
58,3836,42
58,3945,52
59,4088,42
58,112,52
58,273,42
58,409,52
58,588,52
58,774,42
58,922,52
58,1106,42
58,1254,52
58,1431,42
58,1571,52
58,1735,52
58,1890,42
58,2008,52
58,2147,42
58,2252,52
58,2370,42
58,2462,52
59,2566,52
60,2663,41
59,2738,52
63,2824,41
63,2892,52
66,2974,52
67,3060,42
68,3128,52
64,3214,42
63,3286,52
63,3377,41
59,3456,52
59,3559,42
58,3645,52
57,3770,52
59,3898,41
59,4009,52
58,61,42
58,188,52
58,355,42
57,496,51
57,677,52
58,862,42
58,1011,52
58,1199,42
58,1344,52
58,1519,41
58,1654,52
58,1813,52
58,1966,42
57,2080,52
57,2213,41
58,2315,52
58,2429,42
58,2534,52
61,2617,52
62,2711,42
64,2783,52
64,2870,42
67,2937,52
66,3022,52
64,3105,42
64,3168,52
64,3257,42
64,3331,52
61,3426,42
60,3508,52
60,3615,42
58,3710,52
58,3833,52
58,3967,42
58,4084,52
58,139,41
58,269,52
57,441,42
56,621,52
57,769,52
57,958,42
59,1106,52
57,1289,42
58,1433,52
57,1605,41
58,1737,52
56,1893,52
59,2038,41
58,2148,51
57,2274,41
58,2394,52
57,2482,51
59,2585,42
61,2662,52
61,2754,41
62,2822,52
64,2909,52
65,2994,42
67,3060,52
66,3148,41
64,3210,52
62,3301,42
62,3372,52
63,3473,52
59,3576,42
59,3670,52
58,3792,42
57,3896,52
58,4034,42
59,57,51
57,215,51
57,380,41
58,522,52
57,704,41
58,853,52
57,1041,52
58,1225,42
58,1367,52
58,1542,41
58,1677,52
58,1836,42
58,1957,52
58,2098,52
58,2233,42
57,2331,51
57,2445,41
57,2530,52
58,2630,51
62,2722,41
63,2792,52
63,2880,41
67,2947,52
65,3031,42
63,3097,52
64,3182,52
65,3270,42
63,3343,52
62,3439,42
61,3521,52
58,3630,41
58,3723,52
57,3852,52
58,3985,41
58,5,52
58,159,41
58,289,51
58,460,51
58,641,42
60,790,52
58,977,41
58,1125,52
57,1305,42
59,1482,52
58,1621,52
58,1782,42
59,1906,52
58,2053,42
58,2163,52
58,2290,42
58,2386,52
58,2497,52
58,2598,42
60,2677,52
65,2768,41
67,2838,52
63,2921,52
64,3004,42
65,3071,52
66,3154,41
65,3226,52
61,3315,42
62,3387,51
62,3485,51
59,3590,42
58,3681,51
59,3807,42
58,3911,52
58,4050,52
57,105,42
58,234,52
57,404,42
57,546,52
58,729,42
56,881,52
58,1069,42
58,1218,52
58,1397,52
57,1570,42
58,1704,52
58,1861,41
58,1982,52
58,2122,52
57,2251,41
58,2349,52
58,2463,41
58,2546,52
60,2648,42
60,2722,51
63,2807,51
65,2893,41
66,2960,52
67,3046,42
69,3112,52
65,3198,52
62,3283,42
60,3356,52
64,3456,41
59,3539,52
58,3650,42
58,3745,52
57,3873,52
57,4008,42
58,30,51
58,187,42
57,320,52
58,493,41
57,639,52
58,826,52
58,1012,41
60,1162,52
58,1341,41
58,1483,52
57,1653,42
57,1814,52
58,1936,52
59,2080,42
58,2188,52
56,2314,42
57,2408,52
58,2515,52
60,2617,42
61,2694,52
63,2784,42
65,2855,52
63,2939,42
65,3004,52
64,3090,42
66,3154,52
62,3244,51
63,3333,42
61,3407,52
61,3508,42
59,3591,52
58,3707,52
57,3833,41
58,3941,52
58,4083,41
57,109,52
58,269,41
58,405,51
58,583,52
58,768,42
58,917,52
58,1103,42
58,1251,52
58,1431,41
58,1601,52
58,1733,52
58,1891,41
58,2009,52
58,2148,41
56,2252,52
58,2373,52
58,2484,41
58,2568,52
59,2669,41
63,2742,52
63,2831,42
64,2917,51
66,2980,52
65,3064,42
64,3132,51
66,3216,41
66,3288,52
62,3382,52
61,3478,42
62,3561,52
57,3672,41
58,3771,51
59,3899,42
58,4009,52
58,60,52
58,219,42
58,353,51
58,527,42
58,674,52
58,860,41
57,1009,51
Program Ended.,,
